NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,DIMENSIONS
MUC1,,0.0,Coefficient in strain rate-dependent viscosity model,[t]
MUC2,,0.0,Coefficient in strain rate-dependent viscosity model,NON-DIM
MUC3,,0.0,Coefficient in strain rate-dependent viscosity model,[M L\ :sup:`-1` t\ :sup:`-1`]
MUC4,,0.0,Coefficient in strain rate-dependent viscosity model,[M L\ :sup:`-1` t\ :sup:`-2`]
MUCTST,,1/(1000 • :envvar:`TWFIN`),Minimum fluid strain rate applied in strain rate-dependent viscosity model.,[1/t]
MUI,,0.0,Initial coefficient of dynamic viscosity for thixotropic flow model,[M L\ :sup:`-1` t\ :sup:`-1`]
MULES,,0.1,Coefficient in Large Eddy Viscosity model,NON-DIM
MUS,,0.0,Additional viscosity coefficient for density- or solid-fraction-dependent viscosity model. Only used when :envvar:`MUS` :math:`>` 0.0.,[M L\ :sup:`-1` t\ :sup:`-1`]
MUTHK,,0.0,Rate of viscosity increase (flow thickening) in the thixotropic model,[1/t]
MUTHN0,,0.0,First coefficient in the strain rate-dependent rate of viscosity decrease (flow thinning) in the thixotropic model,[1/t]
MUTHN1,,0.0,Second coefficient in the strain rate-dependent rate of viscosity decrease (flow thinning) in the thixotropic model,NON-DIM
MUTMP1,,0.0,Coefficient in temperature-dependent viscosity model,NON-DIM
MUTMP2,,0.0,Coefficient in temperature-dependent viscosity model,[T]
MUTMP3,,1.0,Coefficient in temperature-dependent viscosity model,NON-DIM
MUVOID,,0.0,"Dynamic viscosity of the void region. Used in the permeable mold model, :envvar:`IOBSVENT(n)` = 1.",[M L\ :sup:`-1` t\ :sup:`-1`]
GRNREST,,0.7,Grain restitution coefficient,NON-DIM     
TSTAR,,0.0 degrees C or R,Reference temperature for temperature-dependent fluid properties,[T]
FRCOF,,-1.0,Coefficient of friction between fluid and solid walls for the partial slip model. A zero value corresponds to free slip and an infinite value to no-slip. A negative value turns off the partial slip model. Also see :envvar:`OFRCOF` in namelist :envvar:`OBS`.,[M L\ :sup:`-2` t\ :sup:`-1`]
IRHOF,,0,Flag for the definition of density of fluid #1,NONE
FRHOF,,,The external filename for tabular density of fluid #1 as a function of temperature (used only if :envvar:`IRHOFC` :math:`\geq` 2),NONE
IRHOFC,,0,The column number for density of fluid #1 in the external file,NONE
IRHOF2,,0,Flag for the definition of density of fluid #2,NONE
FRHOF2,,,The external filename for tabular density of fluid #2 as a function of temperature (used only if :envvar:`IRHOF2C` :math:`\geq` 2),NONE
IRHOF2C,,0,The column number for density of fluid #2 in the external file,NONE
IMU1,,0,Flag for the definition of viscosity of fluid #1,NONE
FMU1,,,The external filename for tabular viscosity of fluid #1 as a function of temperature (:envvar:`IMU1` = 1) or strain rate (:envvar:`IMU1` = 2) (used only if :envvar:`IMU1C` :math:`\geq` 2),NONE
IMU1C,,0,The column number for viscosity of fluid #1 in the external file,NONE
IMU2,,0,Flag for the definition of viscosity of fluid #2,NONE
FMU2,,,The external filename for tabular viscosity of fluid #2 as a function of temperature (:envvar:`IMU2` = 1) or strain rate (:envvar:`IMU2` = 2) (used only if :envvar:`IMU2C` :math:`\geq` 2),NONE
IMU2C,,0,The column number for viscosity of fluid #2 in the external file,NONE
ICV1,,0,Flag for the definition of specific heat of fluid #1,NONE
FCV1,,,The external filename for tabular specific heat of fluid #1 as a function of temperature (used only if :envvar:`ICV1C` :math:`\geq` 2),NONE
ICV1C,,0,The column number for specific heat of fluid #1 in the external file,NONE
ICV2,,0,Flag for the definition of specific heat of fluid #2,NONE
FCV2,,,The external filename for tabular specific heat of fluid #2 as a function of temperature (used only if :envvar:`ICV2C` :math:`\geq` 2),NONE
ICV2C,,0,The column number for specific heat of fluid #2 in the external file,NONE
ICVNC,,0,Flag for the definition of specific heat of non-condensable gas component,NONE
FCVNC,,,The external filename for tabular specific heat of non-condensable gas component as a function of temperature (used only if :envvar:`ICVNCC` :math:`\geq` 2),NONE
ICVNCC,,0,The column number for specific heat of non-condensable gas component in the external file,NONE
ITHC1,,0,Flag for the definition of thermal conductivity of fluid #1,NONE
FTHC1,,,The external filename for tabular thermal conductivity of fluid #1 as a function of temperature (used only if :envvar:`ITHC1C` :math:`\geq` 2),NONE
ITHC1C,,0,The column number for thermal conductivity of fluid #1 in the external file,NONE
ITHC2,,0,Flag for the definition of thermal conductivity of fluid #2,NONE
FTHC2,,,The external filename for tabular thermal conductivity of fluid #2 as a function of temperature (used only if :envvar:`ITHC2C` :math:`\geq` 2),NONE
ITHC2C,,0,The column number for thermal conductivity of fluid #2 in the external file,NONE
IFST,,0,Flag for the definition of latent heat release during solidification of fluid #1,NONE
FFST,,,The external filename for tabular enthalpy (:envvar:`IFST` = 1) or solid fraction (:envvar:`IFST` = 2) of fluid #1 as a function of temperature (used only if :envvar:`IFSTC` :math:`\geq` 2),NONE
IFSTC,,0,The column number for tabular enthalpy (:envvar:`IFST` = 1) or solid fraction (:envvar:`IFST` = 2) of fluid #1 in the external file,NONE
IBLKMODTS,,0,Flag for the definition of bulk modulus of solidified phase of fluid #1,NONE
FBLKMODTS,,,The external filename for tabular bulk modulus of solidified phase of fluid #1 as a function of temperature (used only if :envvar:`IBLKMODTSC` :math:`\geq` 2),NONE
IBLKMODTSC,,0,The column number for bulk modulus of solidified phase of fluid #1 in the external file,NONE
IELASTMODTS,,0,Flag for the definition of elastic modulus of solidified phase of fluid #1,NONE
FELASTMODTS,,,The external filename for tabular elastic modulus of solidified phase of fluid #1 as a function of temperature (used only if :envvar:`IELASTMODTSC` :math:`\geq` 2),NONE
IELASTMODTSC,,0,The column number for elastic modulus of solidified phase of fluid #1 in the external file,NONE
IPOISSONRTS,,0,Flag for the definition of Poisson ratio of solidified phase of fluid #1,NONE
FPOISSONRTS,,,The external filename for tabular Poisson ratio of solidified phase of fluid #1 as a function of temperature (used only if :envvar:`IPOISSONRTSC` :math:`\geq` 2),NONE
IPOISSONRTSC,,0,The column number for Poisson ratio of solidified phase of fluid #1 in the external file,NONE
ISHRMODTS,,0,Flag for the definition of shear modulus of solidified phase of fluid #1,NONE
FSHRMODTS,,,The external filename for tabular shear modulus of solidified phase of fluid #1 as a function of temperature (used only if :envvar:`ISHRMODTSC` :math:`\geq` 2),NONE
ISHRMODTSC,,0,The column number for shear modulus of solidified phase of fluid #1 in the external file,NONE
IYLDSTRTS,,0,Flag for the definition of yield stress limit for solidified fluid 1,NONE
FYLDSTRTS,,,The external filename for tabular yield stress limit for solidified phase of fluid #1 as a function of temperature (used only if :envvar:`IYLDSTRTSC` :math:`\geq` 2),NONE
IYLDSTRTSC,,0,The column number for yield stress limit for solidified phase of fluid #1 in the external file,NONE
IYIELD1,,0,Flag for the definition of yield stress limit of fluid #1,NONE
FYIELD1,,,The external filename for tabular yield stress limit of fluid #1 as a function of temperature (used only if :envvar:`IYIELD1C` :math:`\geq` 2),NONE
IYIELD1C,,0,The column number for yield stress limit of fluid #1 in the external file. Must be at least column #2 to read from external file.,NONE
IYIELD2,,0,Flag for the definition of yield stress limit of fluid #2,NONE
FYIELD2,,,The external filename for tabular yield stress limit of fluid #2 as a function of temperature (used only if :envvar:`IYIELD2C` :math:`>` = 2),NONE
IYIELD2C,,0,The column number for yield stress limit of fluid #2 in the external file. Must be at least column #2 to read from external file.,NONE
IEMOD1,,0,Flag for the definition of shear elastic modulus of fluid #1,NONE
FEMOD1,,,The external filename for tabular shear elastic modulus of fluid #1 as a function of temperature (used only if :envvar:`IEMOD1C` :math:`\geq` 2),NONE
IEMOD1C,,0,The column number for shear elastic modulus of fluid #1 in the external file. Must be at least column #2 to read from external file.,NONE
IEMOD2,,0,Flag for the definition of shear elastic modulus of fluid #2,NONE
FEMOD2,,,The external filename for tabular shear elastic modulus of fluid #2 as a function of temperature (used only if :envvar:`IEMOD2C` :math:`\geq` 2),NONE
IEMOD2C,,0,The column number for shear elastic modulus of fluid #2 in the external file. Must be at least column #2 to read from external file.,NONE
IRELAX1,,0,Flag for the definition of relaxation time of fluid #1,NONE
FRELAX1,,,The external filename for tabular relaxation time of fluid #1 as a function of temperature (used only if :envvar:`IRELAX1C` :math:`\geq` 2),NONE
IRELAX1C,,0,The column number for relaxation time of fluid #1 in the external file. Must be at least column #2 to read from external file.,NONE
IRELAX2,,0,Flag for the definition of  relaxation time of fluid #2,NONE
FRELAX2,,,The external filename for tabular relaxation time of fluid #2 as a function of temperature (used only if :envvar:`IRELAX2C` :math:`>` = 2),NONE
IRELAX2C,,0,The column number for relaxation time of fluid #2 in the external file. Must be at least column #2 to read from external file.,NONE
IMOBLTY1,,0,Flag for the definition of the mobility factor of fluid #1,NONE
FMOBLTY1,,,The external filename for tabular mobility factor of fluid #1 as a function of temperature (used only if :envvar:`IMOBLTY1C` :math:`\geq` 2),NONE
IMOBLTY1C,,0,The column number for the mobility factor of fluid #1 in the external file. Must be at least column #2 to read from external file.,NONE
IMOBLTY2,,0,Flag for the definition of the mobility factor of fluid #2,NONE
FMOBLTY2,,,The external filename for tabular mobility factor of fluid #2 as a function of temperature (used only if :envvar:`IMOBLTY2C` :math:`>` = 2),NONE
IMOBLTY2C,,0,The column number for the mobility factor of fluid #2 in the external file. Must be at least column #2 to read from external file.,NONE
ISIGMA,,0,Flag for the definition of surface tension coefficient,NONE
FSIGMA,,,The external filename for tabular surface tension coefficient as a function of temperature (used only if :envvar:`ISIGMAC` :math:`\geq` 2),NONE
ISIGMAC,,0,The column number for surface tension coefficient in the external file :envvar:`FSIGMA`,NONE
IFLHTC,,0,Flag for the definition of the heat transfer coefficient between fluid #1 and #2,NONE
FFLHTC,,,The external filename for tabular inter-fluid heat transfer coefficient as a function of temperature (used only if :envvar:`IFLHTC` :math:`\geq` 2),NONE
IFLHTCC,,0,The column number for inter-fluid heat transfer coefficient in the external file,NONE
ICLHV1,,0,Flag for the definition of latent heat of vaporization for the phase change model,NONE
FCLHV1,,,The external filename for tabular latent heat of vaporization for the phase change model as a function of temperature (used only if :envvar:`ICLHV1` = 1 and :envvar:`ICLHV1C` :math:`\geq` 2),NONE
ICLHV1C,,0,The column number for latent heat of vaporization for the phase change model in the external file,NONE
IPSAT,,0,Flag for the definition of coexistence curve (saturation pressure -- temperature curve) for the phase change model,NONE
FPSAT,,,The external filename for tabular coexistence curve (saturation pressure -- temperature curve) for the phase change model as a function of temperature (used only if :envvar:`IPSAT` = 1 and :envvar:`IPSATC` :math:`\geq` 2),NONE
IPSATC,,0,The column number for coexistence curve (saturation pressure -- temperature curve) for the phase change model in the external file,NONE
CMSC,ns,0.0,Molecular diffusion coefficient of scalar *ns*,[M L\ :sup:`-1` t\ :sup:`-1`]
ISCLR,ns,...,Scalar advection options,NONE
NSC,,0,Number of user-defined scalar species,NONE
RMSC,,...,Turbulent diffusion coefficient multiplier,NON-DIM
RMSCS,ns,RMSC,,Turbulent diffusion coefficient multiplier for scalar *ns*,NON-DIM
SCLTIT,ns,...,"Title for scalar variable :envvar:`ns`. For scalar variables used in standard models, the default title corresponds to the physical meaning of the variable in the model. For all other scalars, the title card is 'scalar ns concentration'. The maximum length of the title is 35 characters.",NONE
IRHOSC,ns,0,Flag to include mass of scalar in fluid density. A value of 1 means the total fluid density includes the mass of the scalar:,NONE
MUSC,ns,-1.0,A positive value represents the viscosity of the scalar. The mixture viscosity becomes a weighted average of fluid and scalar mass fractions. ,[M L\ :sup:`-1` t\ :sup:`-1`]
EMODSC,ns,-1.0,A positive value represents shear elastic modulus of the scalar. The mixture elastic modulus is a weighted average of fluid and scalar mass fractions. ,[M L\ :sup:`-1` t\ :sup:`-2`]
YIELDSC,ns,-1.0,A positive value represents yields stress limit of the scalar. A negative value does not make any impact. The mixture value is a weighted average of fluid and scalar mass fractions.,[M L\ :sup:`-1` t\ :sup:`-2`]
RELAXSC,ns,-1.0,"A positive value represents relaxation time for Oldroyd-B viscoelasticity model. Any value less than or equal to 0.0 means that the relaxation time is infinite, that is, the material exhibits no relaxation.",[t]
MOBLTYSC,ns,0.0,Represents the mobility factor of the scalar. Positive values only. Is required to define a Giesekus fluid.,NON-DIM
EPSELE,,1.0E-06,Convergence criterion for electric (external) potential ,NON-DIM
EPSPSI,,1.0E-06,Convergence criterion for Zeta potential,NON-DIM
MAXPHIT,,1000,Maximum iterations for electric (external) potential solver,NONE
MAXPSIT,,1000,Maximum iterations for zeta-potential solver,NONE     
MAXECHRG,,20,Maximum iterations for coupled electric field-electric charge solver,NONE     
IEPOT,,0,Electric potential model flag,NONE
IEOF2,,0,Flag for Zeta potential (Electro-Osmosis) model,NONE
TEMPSOL,,-1.0\ :math:`\times`\ 10\ :sup:`19`,Average fluid temperature. Must be positive in absolute temperature units.,[T]
CONCEN,,0.0,Average ion concentration in bulk flow.,[mol L\ :sup:`-3`]
IDEP,,...,Dielectrophoresis model flag,NONE
IECHRG,,0,Electric charge model,NONE
IETHERMO,,0,Flag for electromechanical and electrothermal effects,NONE
CMCHRG,,0.0,Molecular diffusion coefficient of electric charge density,[Q L\ :sup:`-1` t\ :sup:`-1`]
RMCHRG,,0.0,Turbulent diffusion coefficient multiplier for electric charge density,NON-DIM
DFCTW,,0.5,Rate at which transportable foam residue (scalar specified by :envvar:`IDFCT_LF`) is converted to wicked residue at mold walls (scalar specified by :envvar:`IDFCTW`).,NON-DIM
DFTFOB,,1.0,Coefficient of proportionality for foam residue (amount of foam residue per unit volume of decomposed solid foam).,NON-DIM
DFTSRF,,1.0,Coefficient of proportionality for free-surface-generated defects (defects created per unit time per unit area).,[t\ :sup:`-1` L\ :sup:`-2`]
IDFCT,,0,Free surface defect tracking model flag,NONE
IDFCT_LF,,...,Foam residue tracking model flag,NONE
IDFCWE,,0,Eroded solid tracking model flag,NONE     
CMDFT,,0.0,Molecular diffusion coefficient of free surface defects,[M L\ :sup:`-1` t\ :sup:`-1`]
CMDFT_LF,,0.0,Molecular diffusion coefficient of foam residue defects,[M L\ :sup:`-1` t\ :sup:`-1`]
RMDFT,,0.0,Turbulent diffusion coefficient multiplier for free surface defects,NON-DIM
RMDFT_LF,,0.0,Turbulent diffusion coefficient multiplier for foam residue defects,NON-DIM
IDFCTW,,0,"Flag to activate recording of foam residue that wicks into mold walls, and therefore, are not transported by metal flow.",NONE
IFMDEN,,0,Flag to activate variable density in foam patterns,NONE
IDFAIR,,0,Flag to activate air entrainment model. A non-zero value activates the model.,NONE
CMAIR,,0.0,Molecular diffusion coefficient of the entrained air,[M L\ :sup:`-1` t\ :sup:`-1`]
RMAIR,,0.0,Turbulent diffusion coefficient multiplier for the entrained air,NON-DIM
DFAIR,,0.5,Air entrainment rate coefficient,NON-DIM
TV2M,,...,Reference temperature for ideal gas equation of state.,[T]
IDISSOLVE,,0,Flag to activate dissolution model. A non-zero value activates the model.,NONE
DISSALPHA,,1.0,Mixture density coefficient:,NON-DIM
DISSDEN,,RHOF,,Density of the solid solute,[M/L\ :sup:`3`]
DISSMTC,,0.0,Mass transfer coefficient for solid solute components,[L/t]
DISSSAT,,0.0,Solute concentration at saturation,[M/L\ :sup:`3`]
CMDISS,,0.0,Molecular diffusion coefficient of the dissolved solute,[M L\ :sup:`-1` t\ :sup:`-1`]
RMDISS,,0.0,Turbulent diffusion coefficient multiplier for the dissolved solute,NON-DIM
IDSIZE,,0,Flag to activate the dynamic droplet size calculation in the drift-flux model. A non-zero value activates the model.,NONE
WEBCRIT,,1.6,Critical Weber number above which particles break up,NON-DIM
CAPCRIT,,1.0,Critical capillary number above which particles break up,NON-DIM     
IBURN,,0,Flag to activate combustible object model. A non-zero value activates the model.,NONE
PRESS,,0.0,Uniform intensification pressure. Used only if greater than zero.,[M L\ :sup:`-1` t\ :sup:`-2`]
IFILL1,,0,Flag to activate the recording of the first and last time a cell fills with fluid #1,NONE
CMNCG,,0.0,Molecular diffusion coefficient of the non-condensable gas component in the gas phase. Only used when :envvar:`INCG` = 1.,[M L\ :sup:`-1` t\ :sup:`-1`]
RMNCG,,0.0,Turbulent diffusion coefficient multiplier for the non-condensable gas component on the gas phase. Only used when :envvar:`INCG` = 1.,NON-DIM
IPCAV,,0,Cavitation potential model flag,NON-DIM
ISEG,,0,Macro-segregation model flag,NON-DIM
CMSEG,,0.0,Molecular diffusion coefficient of the solute mass concentration,[M L\ :sup:`-1` t\ :sup:`-1`]
RMSEG,,0.0,Turbulent diffusion coefficient multiplier for the solute mass concentration,NON-DIM
IRESDT,,0,Flag used to compute fluid residence time (the amount of time fluid is present in the flow domain),NONE
IDSPRAY,,1,Spray area visualization,NONE
ITRACER,,0,Flag used to activate tracers at flux surfaces,NONE
ICONTACT,,0,Flag used to activate fluid/wall contact time output,NONE     
IF_GAS_PRESS,,0,"Flag used to compute and output the last local gas pressure in a cell before the arrival of fluid. Used with one-fluid, free-surface flows, :envvar:`NMAT` = 1, :envvar:`ITB` = 1.",NONE
IF_VENT_EFFCY,,0,"Flag used to compute and output the venting efficiency during filling. Used with one-fluid, free-surface flows, :envvar:`NMAT` = 1, :envvar:`ITB` = 1.",NONE     
IPATH,,0,Flag used to compute distance traveled by fluid from its initial location or from the inlet (mesh boundary or mass source),NONE
IRESID,,0,Flag to activate the solid residue model. A non-zero value activates the model.,NONE
RMXSC,ns,...,"Maximum concentration of scalar #ns in fluid #1, after which a solid residue starts forming.",[M/L\ :sup:`3`]
CMSCR,,0.0,Molecular diffusion coefficient of the suspended sediment,[M L\ :sup:`-1` t\ :sup:`-1`]
CROUGH,,2.5,"Roughness coefficient for surface of packed sediment bed (roughness :math:`k_s=c_{\rm{rough}} d_{50,\rm{packed}}`)",NON-DIM
IBEDLOAD,,2,Flag for bed-load transport rate equation,NONE
ISSCRT,,0,Flag for critical Shields number calculation,NONE  
ISSHID,,0,Flag for local adjustment of critical Shields number for armoring in multisediment species simulations,NONE
ISSSLP,,0,Flag for local adjustment of critical Shields number for slope effect,NONE
NSSPC,,0,Number of sediment species (\ :envvar:`NSSPC` :math:`\leq` 10),NONE
RHFSS,k,-1.0,Density of sediment species :envvar:`k`. ,[M/L\ :sup:`3`]
RMSCR,,0.0,Turbulent diffusion coefficient multiplier for the suspended sediment,NON-DIM
SCRFCR,,0.64,Critical solid fraction. Represents the total solid fraction beyond which the sediment is completely packed.,NON-DIM
SSANG,k,32,Angle of repose of sediment species :envvar:`k`. ,DEGREES
SSBDLF,k,...,"Sediment bed-load parameter for sediment species :envvar:`k` in Meyer, Peter and Müller equation.",NON-DIM
SSBDLF2,k,...,Sediment bed-load parameter for sediment species :envvar:`k` in Nielsen equation.,NON-DIM
SSBDLF3,k,...,Sediment bed-load parameter for sediment species :envvar:`k` in Van Rijn equation.,NON-DIM   
SSCRT,k,0.05,Critical Shields number of sediment species :envvar:`k`.,NON-DIM
SSDIA,k,-1.0,"Particle diameter of sediment species :envvar:`k`. If species represents a range of particle sizes, it is the mean diameter of species :envvar:`k`.",[L]
SSENTRF,k,0.018,Sediment entrainment parameter for sediment species :envvar:`k`.,NON-DIM
SSNAME,k,...,Descriptive name for sediment species :envvar:`k`. (Optional),NONE
SSRZMLT,,1.0,Richardson-Zaki coefficient multiplier.,NON-DIM
ISLDG,,0,Flag for activation of the sludge settling model,NONE
IVELSLDG,,0,"Flag for settling velocity input method, only used when :envvar:`ISLDG` = 1",NONE
IVELSLDGC,,0,"Column number for settling velocity in tabulated data, only used when :envvar:`IVELSLDG` = 1",NONE
FVELSLDG,,...,"File name of sludge settling velocity, only used when :envvar:`IVELSLDGC` = 2",NONE
CSLDGMX,,...,Maximum settled sludge mass concentration,[M L\ :sup:`-3`]
MUSC_SLDG,,0.0,Dynamic viscosity of sludge,[M L\ :sup:`-1` t\ :sup:`-1`]
CMSC_SLDG,,0.0,Molecular diffusion coefficient of sludge,[M L\ :sup:`-1` t\ :sup:`-1`]
RMSCS_SLDG,,0.0,Turbulent diffusion coefficient multiplier for sludge,[NONE]
RHOSLDG,,...,Mass density of sludge solid,[M L\ :sup:`-3`]
VELSLDG0,,...,Vesilind maximum settling velocity,[M t\ :sup:`-1`]
CVELSLDG,,...,Vesilind parameter. ,[M\ :sup:`-1` L\ :sup:`3`]
ARATE,n,0.0,Rate coefficients for kinetic equations,[M\ :sup:`1-DD` t\ :sup:`-1` L\ :sup:`-3(1-DD)`]
DD,"neq,ntrm,ns",0.0,Exponent for term number :envvar:`ntrm` of equation number :envvar:`neq` for scalar species number :envvar:`ns`.,NON-DIM
ICOEFF,"neq,ntrm",0,"The index :envvar:`n` for the rate coefficient :envvar:`ARATE(n)` to be used for term :envvar:`ntrm` in equation :envvar:`neq`. Holds the sign appearing in the equation, e.g., if :envvar:`ICOEFF(neq,ntrm)` is negative, its absolute value corresponds to the index :envvar:`n` and the term :envvar:`ntrm` is entered with a minus sign.",NONE
EPSIRB,,...,Convergence criterion for the coupled rigid body dynamics iterative algorithm.,[1/t]
IRBACC,,0,Option for the evaluation of rigid body linear and angular acceleration,NONE
NCRBMX,,100,Maximum permitted number of iterations for the coupled rigid body dynamics solution. ,NONE
OMDIMP,,0.501,Averaging factor for mixing of explicit and implicit evaluation of rigid-body gyroscopic coupling terms in angular momentum equations.,NON-DIM
ACXP,,...,"Initial x' component of linear acceleration of the dry rigid body in the inertial (x',y',z') coordinate system. ",[L/t\ :sup:`2`]
ACYP,,...,"Initial y' component of linear acceleration of the dry rigid body in the inertial (x',y',z') coordinate system. ",[L/t\ :sup:`2`]
ACZP,,...,"Initial z' component of linear acceleration of the dry rigid body in the inertial (x',y',z') coordinate system. ",[L/t\ :sup:`2`]
OMXI,,0.0,"Initial x angular velocity component of the dry rigid body in the body-fixed (x,y,z) coordinate system.",[radians/t]
OMYI,,0.0,"Initial y angular velocity component of the dry rigid body in the body-fixed (x,y,z) coordinate system.",[radians/t]
OMZI,,0.0,"Initial z angular velocity component of the dry rigid body in the body-fixed (x,y,z) coordinate system.",[radians/t]
OMXPI,,0.0,"Initial x' angular velocity component of the dry rigid body in the inertial (x',y',z') coordinate system.",[radians/t]
OMYPI,,0.0,"Initial y' angular velocity component of the dry rigid body in the inertial (x',y',z') coordinate system.",[radians/t]
OMZPI,,0.0,"Initial z' angular velocity component of the dry rigid body in the inertial (x',y',z') coordinate system.",[radians/t]
RBAXXP,,1.0,Initial direction cosine (X•X') relating the inertial and body-fixed coordinate systems. This is element A11 of the transformation matrix.,NON-DIM
RBAYYP,,1.0,Initial direction cosine (Y•Y') relating the inertial and body-fixed coordinate systems. This is element A22 of the transformation matrix.,NON-DIM
RBAZZP,,1.0,Initial direction cosine (Z•Z') relating the inertial and body-fixed coordinate systems. This is element A33 of the transformation matrix.,NON-DIM
RBAXYP,,0.0,Initial direction cosine (X•Y') relating the inertial and body-fixed coordinate systems. This is element A12 of the transformation matrix.,NON-DIM
RBAYXP,,0.0,Initial direction cosine (Y•X') relating the inertial and body-fixed coordinate systems. This is element A21 of the transformation matrix.,NON-DIM
RBAXZP,,0.0,Initial direction cosine (X•Z') relating the inertial and body-fixed coordinate systems. This is element A13 of the transformation matrix.,NON-DIM
RBAZXP,,0.0,Initial direction cosine (Z•X') relating the inertial and body-fixed coordinate systems. This is element A31 of the transformation matrix.,NON-DIM
RBAYZP,,0.0,Initial direction cosine (Y•Z') relating the inertial and body-fixed coordinate systems. This is element A23 of the transformation matrix.,NON-DIM
RBAZYP,,0.0,Initial direction cosine (Z•Y') relating the inertial and body-fixed coordinate systems. This is element A32 of the transformation matrix.,NON-DIM
RBOMDX,,...,"Initial x-component of angular acceleration of the dry rigid body in the body-fixed (x,y,z) coordinate system.",[radians/t\ :sup:`2`]
RBOMDY,,...,"Initial y component of angular acceleration of the dry rigid body in the body-fixed (x,y,z) coordinate system.",[radians/t\ :sup:`2`]
RBOMDZ,,...,"Initial z' component of angular acceleration of the dry rigid body in the body-fixed (x,y,z) coordinate system. ",[radians/t\ :sup:`2`]
RCXP,,0.0,"Initial x' coordinate of the dry rigid-body center of mass in the inertial (x',y',z') coordinate system.",[L]
RCYP,,0.0,"Initial y' coordinate of the dry rigid-body center of mass in the inertial (x',y',z') coordinate system.",[L]
RCZP,,0.0,"Initial z' coordinate of the dry rigid-body center of mass in the inertial (x',y',z') coordinate system.",[L]
RRATE,,0.0,Rotation rate of the gravitating body reference frame (radians/second). Optional input for evaluation of relative longitude.,[radians/t]
UCXP,,0.0,"Initial x' velocity component of the dry rigid-body center of mass in the inertial (x',y',z') coordinate system.",[L/t]
UCYP,,0.0,"Initial y' velocity component of the dry rigid-body center of mass in the inertial (x',y',z') coordinate system",[L/t]
UCZP,,0.0,"Initial z' velocity component of the dry rigid-body center of mass in the inertial (x',y',z') coordinate system",[L/t]
XPLONG,,0.0,Initial longitude of the inertial x' axis in the gravitating body reference frame (radians). Optional input for the evaluation of relative longitude.,[radians]
GBODY,,0.0,Gravitational constant for the gravitating central body ,[L\ :sup:`3`/t\ :sup:`2`]
RBJXX,,1.0,"Diagonal (x,x) component of dry rigid-body moment of inertia tensor",[M L\ :sup:`2`]
RBJYY,,1.0,"Diagonal (y,y) component of dry rigid-body moment of inertia tensor",[M L\ :sup:`2`]
RBJZZ,,1.0,"Diagonal (z,z) component of dry rigid-body moment of inertia tensor",[M L\ :sup:`2`]
RBJXY,,0.0,"Off-diagonal (x,y) component of dry rigid-body moment of inertia tensor",[M L\ :sup:`2`]
RBJXZ,,0.0,"Off-diagonal (x,z) component of dry rigid-body moment of inertia tensor",[M L\ :sup:`2`]
RBJYZ,,0.0,"Off-diagonal (y,z) component of dry rigid-body moment of inertia tensor ",[M L\ :sup:`2`]
RBMASS,,1.0,Mass of the dry rigid body,[M]
IBCT,n,...,Boundary condition type at mesh block boundaries,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
IF_PART,,0,"Macro-boundary flag for fluid flow rate and thermal power boundary conditions in multi-block meshes. A specified flow rate (or thermal power for wall-type mesh boundaries) is distributed over all mesh boundaries that have the same non-zero value of :envvar:`IF_PART`. All mesh boundaries that make up a macro-boundary must be on the same side of their respective mesh blocks, have the same coordinate and have identical boundary condition specifications.",NONE
ELSTBCT,"t,n,k",0.0,Elastic stress component :envvar:`k` at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,[M L\ :sup:`-1` t\ :sup:`-2`]
FELSTBCT,n,,The external filename for tabular Elastic stress component :envvar:`k` at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IELSTBCTC(n)` :math:`\geq` 2),NONE
IELSTBCTC,n,0,The column number for Elastic stress component :envvar:`k` at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary condition,[t]
CHRGBCT,"t,n",0.0,Electric charge density at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,[Q/L\ :sup:`3`]
FCHRGBCT,n,,The external filename for tabular electric charge density at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`ICHRGBCTC(n)` :math:`\geq` 2),NONE
ICHRGBCTC,n,0,The column number for electric charge density at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
AIRBCT,"t,n",0.0,Volume fraction of entrained air at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM
FAIRBCT,n,,The external filename for tabular volume fraction of entrained air at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IAIRBCTC(n)` :math:`\geq` 2),NONE
IAIRBCTC,n,0,The column number for volume fraction of entrained air at mesh boundary :envvar:`n` in the external file,NONE
TIMBCT,t,0.0,Time table for mesh boundary conditions,[t]
DISSBCT,"t,n",0.0,Concentration of dissolved solute at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. ,[M/L\ :sup:`3`]
FDISSBCT,n,' ',The external filename for tabular concentration of dissolved solute at mesh boundary :envvar:`n` as a function of time (used only if :envvar:`IDISSBCTC(n)` :math:`\geq` 2),NONE
