NAME,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE
"cctime(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
ifsoft(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
ilthobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hobs1s(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,300
rough(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcman(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
oechrg(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oepotzt(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oecond(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
odiel(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
perm(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,7.45E-08
perm2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.000700261
opor(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.894
"ospin(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
iodrg(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
noblds(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oblthk(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
alphwobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xnwobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmwobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
alphdobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xndobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmdobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xfrco(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yfrco(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zfrco(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
famp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
freq(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
fphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.8e+006
kobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.09
xkobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
ykobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
zkobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hobs1(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,600
uamp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ufre(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vamp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vfre(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wamp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wfre(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxamp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxfre(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyamp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyfre(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzamp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzfre(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzphs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burnigntemp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burna(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e-05
burnb(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.5
"twobs(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
"hobvt1(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
qsrncg(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
rsatqsr(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
saobs_c(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"vtpres(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300
"vttemp(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
vtf_min(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
sqp_time(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_force(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_solid(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uspng(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspng(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspng(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c0spng(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
c1spng(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opmass_restit(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opgas_restit(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquid_restit(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquidsd_restit(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opvoid_restit(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
pq2_gate_area(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x1(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y1(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z1(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotime(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotemp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15
exoq(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotau(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
nprobes_sqp(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_x(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_y(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_z(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"itpobs_time(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
shell_thobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rad_cluster_angle(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
hobem(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
gxtrfc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gytrfc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gztrfc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gmagn(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
grotx(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
groty(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
grotz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnx(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrny(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xaxs0(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yaxs0(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zaxs0(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
delay_plunger(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
obsid(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Chill 1'
iob(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
subcmpid(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Chill'
igen(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Chill .stl'
roughsub(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
ilthobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hobs1s(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3000
rough(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcman(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
oechrg(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oepotzt(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oecond(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
odiel(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
opor(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"ospin(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
noblds(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oblthk(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
alphwobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xnwobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmwobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
alphdobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xndobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmdobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xfrco(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yfrco(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zfrco(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
famp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
freq(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
fphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.7e+06
kobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,50
xkobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
ykobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
zkobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hobs1(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,6000
uamp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ufre(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vamp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vfre(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wamp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wfre(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxamp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxfre(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omxphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyamp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyfre(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omyphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzamp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzfre(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
omzphs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burnigntemp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
burna(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e-05
burnb(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.5
"twobs(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,200
"hobvt1(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,40
qsrncg(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
rsatqsr(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
saobs_c(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"vtpres(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,101300
"vttemp(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
vtf_min(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
sqp_time(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_force(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_solid(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
uspng(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspng(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspng(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c0spng(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
c1spng(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opmass_restit(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opgas_restit(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquid_restit(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opliquidsd_restit(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
opvoid_restit(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
pq2_gate_area(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x1(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y1(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z1(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_x2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_y2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
sqp_z2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotime(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotemp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15
exoq(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
exotau(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
nprobes_sqp(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_x(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_y(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyc_trans_z(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"itpobs_time(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
shell_thobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rad_cluster_angle(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30
hobem(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
gxtrfc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gytrfc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gztrfc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gmagn(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
grotx(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
groty(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
grotz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnx(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrny(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gtrnz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xaxs0(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
yaxs0(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
zaxs0(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
delay_plunger(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
obsid(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Standard Insert 1'
iob(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
subcmpid(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Feed Tube'
igen(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'C:/flow3d/v5.1_37/gui/stl_lib/LPSC/Feed Tube .stl'
roughsub(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"cctime(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"cctemp(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,24.85
"hcct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
"icctime(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
rtorin(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
rtorout(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
ilthobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hobs1s(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,400
rough(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcman(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
oechrg(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oepotzt(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oecond(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
odiel(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
opor(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
"ospin(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
noblds(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
oblthk(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
alphwobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xnwobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmwobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
alphdobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
xndobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
xmdobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
