NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
PBCT,"1, 5",...,"Pressure at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Defaults to zero if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to :envvar:`P_REFERENCE` otherwise.",g cm^-1 s^-2,1.001e+05,
PBCT,"2, 5",...,"Pressure at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Defaults to zero if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to :envvar:`P_REFERENCE` otherwise.",g cm^-1 s^-2,1.1125e+05,
PBCT,"3, 5",...,"Pressure at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Defaults to zero if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to :envvar:`P_REFERENCE` otherwise.",g cm^-1 s^-2,1.1125e+05,
FBCT,"1, 5",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 5",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 5",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 5",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 5",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],760,
TBCT,"4, 5",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],760,
TBCT,"5, 5",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
TBCT,"6, 5",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,5,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,5,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,5,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,5,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,5,0.0,z-component of background stream velocity,cm/s,0,
IBCT,6,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,6,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,6,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,6,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,6,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,6,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,6,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,6,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 6",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 6",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 6",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 6",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 6",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,6,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,6,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,6,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,6,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,6,0.0,z-component of background stream velocity,cm/s,0,
TIMBCT,1,0.0,Time table for mesh boundary conditions,s,0,
TIMBCT,2,0.0,Time table for mesh boundary conditions,s,10,
TIMBCT,3,0.0,Time table for mesh boundary conditions,s,12,
TIMBCT,4,0.0,Time table for mesh boundary conditions,s,150,
TIMBCT,5,0.0,Time table for mesh boundary conditions,s,151,
TIMBCT,6,0.0,Time table for mesh boundary conditions,s,200,
MESH,BLOCK,BLOCK,Mesh data for computational grid,BLOCK,BLOCK,BLOCK
MESHNAME,,mesh block no. ##,Mesh block name (up to 256 characters),NONE,'Mesh block 2',
SIZE,,0.0,"Cell size to be approximated for a uniform mesh. Used when :envvar:`IF_SIZE` = 1. :envvar:`SIZE` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and/or :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",cm,0.002,
MESH_TYPE,,0,Mesh block shape type,NONE,1,
OVERLAP,,...,The extent of the overlap (in terms of length) of a conforming block into,cm,0.012,
PX,1,...,nth location in x-direction for a mesh plane,cm,-0.12,
PX,2,...,nth location in x-direction for a mesh plane,cm,0.12,
PY,1,...,nth location in y-direction for a mesh plane,cm,-0.076,
PY,2,...,nth location in y-direction for a mesh plane,cm,0.076,
PZ,1,...,nth location in z-direction for a mesh plane,cm,-0.056,
PZ,2,...,nth location in z-direction for a mesh plane,cm,0.18,
OBS,BLOCK,BLOCK,Geometry data,BLOCK,BLOCK,BLOCK
NOBS,,0,Number of components,NONE,7,
velrad,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
IFOB,1,0,"""Free"" (or phantom) component flag",NONE,-1,
OBSID,1,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Filter 1',
MATERIAL,1,""" """,Character string allowing user to identify the material of component :envvar:`m` (up to 256 characters).,,'20ppi_ceramic_foam',
IOB,1,0,Associates subcomponent :envvar:`n` with a particular component,NONE,1,
SUBCMPID,1,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Filter',
IGEN,1,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,1,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Filter.stl',
ROUGHSUB,1,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,1,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,1,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,1,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,1,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,1,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,1,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,1,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,1,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,1,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,1,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,1,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,1,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,1,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,1,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,1,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,1,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 1",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 1",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 1",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 1",1,On/off status for the cooling channel,NONE,1,
RTORIN,1,-1.0,Minor toroid radius,cm,-1,
RTOROUT,1,-1.0,Major toroid radius,cm,-1,
IFSOFT,1,0,Flag to determine the stiffness of the component :envvar:`m` adjacent to solidified fluid region.,NONE,1,
ILTHOBS,1,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
HOBS1S,1,...,Heat-transfer coefficient to solidified fluid #1 for component :envvar:`m`,g K^-1 s^-3,300,
ROUGH,1,...,Wall roughness for component :envvar:`m` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGH` < 0 ,cm,0,
RCMAN,1,0.0,Manning roughness coefficient on component :envvar:`m`,s/cm^1/3,0.0,
OECHRG,1,0.0,Initial uniform electric charge density in component :envvar:`m`,scoul/cm^3,0,
OEPOTZT,1,0.0,Zeta potential of component :envvar:`m`,g cm^2 scoul^-1 s^-2,0,
OECOND,1,0.0,Electric conductivity for component :envvar:`m`,scoul^2 s g^-1 cm^-3,0,
ODIEL,1,1.0,Dielectric constant (relative permittivity) for component :envvar:`m`.,NON-DIM,0.0,
PERM,1,0.0 ,Porous component Darcian Permeability (used if :envvar:`IODRG(m)` = 2),cm^2,7.45E-08,
PERM2,1,0.0 ,Porous component non-Darcian Permeability (used if :envvar:`IODRG(m)` = 2),cm,0.000700261,
OPOR,1,...,Component porosity (open volume fraction),NON-DIM,0.894,
OSPIN,"1, 1",0.0,Spin rate for rotating component :envvar:`m` at time :envvar:`TOBS(t)`,radians/s,0,
IODRG,1,0,"Drag function flag for porous component, :envvar:`IFOB(m)` =-1",NONE ,2,
NOBLDS,1,0,Number of blades for added bladed effects,NONE,0,
OBLTHK,1,0.0,Blade tip thickness in the azimuthal direction (in units of length),cm,0,
ALPHWOBS,1,0.0,Coefficient for Van Genuchten wetting (filling) capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNWOBS,1,1.0,Outer exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless),NON-DIM,1.0,
XMWOBS,1,1.0,Inner exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
ALPHDOBS,1,0.0,Coefficient for Van Genuchten draining capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNDOBS,1,1.0,Outer exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XMDOBS,1,1.0,Inner exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XFRCO,1,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
YFRCO,1,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
ZFRCO,1,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
FAMP,1,0.0,Amplitude of sinusoidal actuator force,g cm s^2,0,
FREQ,1,0.0,Frequency of sinusoidal actuator force,1/s,0,
FPHS,1,0.0,Initial phase of sinusoidal actuator force,DEGREES,0,
RCOBS,1,0.0,"Density times specific heat product for component :envvar:`m`. If :envvar:`RCOBS(m)` :math:`>` 0.0, a dynamic equation is solved for the heat transfer surface temperature.",g cm^-1 K^-1 s^-2,1.8e+006,
KOBS,1,0.0,Thermal conductivity of component :envvar:`m`,g cm s^-3 K^-1,1.09,
XKOBS,1,1.0,Multiplier for x-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
YKOBS,1,1.0,Multiplier for y-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
ZKOBS,1,1.0,Multiplier for z-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
HOBS1,1,-1.0 ,Heat-transfer coefficient to fluid #1 for component :envvar:`m`,g K^-1 s^-3,600,
UAMP,1,0.0,Amplitude of sinusoidal translational x-velocity in space system,cm/s,0,
UFRE,1,0.0,"Frequency of sinusoidal translational x-velocity in space system, in Hz",1/s,0,
UPHS,1,0.0,"Initial phase of sinusoidal translational x-velocity in space system, in degrees",DEGREES,0,
VAMP,1,0.0,Amplitude of sinusoidal translational y-velocity in space system,cm/s,0,
VFRE,1,0.0,"Frequency of sinusoidal translational y-velocity in space system, in Hz",1/s,0,
VPHS,1,0.0,"Initial phase of sinusoidal translational y-velocity in space system, in degrees",DEGREES,0,
WAMP,1,0.0,Amplitude of sinusoidal translational z-velocity in space system,cm/s,0,
WFRE,1,0.0,"Frequency of sinusoidal translational z-velocity in space system, in Hz",1/s,0,
WPHS,1,0.0,"Initial phase of sinusoidal translational z-velocity in space system, in degrees",DEGREES,0,
OMXAMP,1,0.0,"Amplitude of sinusoidal x'- angular velocity in body system, in rad/s",radians/s,0,
OMXFRE,1,0.0,"Frequency of sinusoidal x'- angular velocity in body system, in Hz",1/s,0,
OMXPHS,1,0.0,"Initial phase of sinusoidal x'- angular velocity in body system, in degrees",DEGREES,0,
OMYAMP,1,0.0,"Amplitude of sinusoidal y'- angular velocity in body system, in rad/s",radians/s,0,
OMYFRE,1,0.0,"Frequency of sinusoidal y'- angular velocity in body system, in Hz",1/s,0,
OMYPHS,1,0.0,"Initial phase of sinusoidal y'- angular velocity in body system, in degrees",DEGREES,0,
OMZAMP,1,0.0,"Amplitude of sinusoidal z'- angular velocity in body system, in rad/s",radians/s,0,
OMZFRE,1,0.0,"Frequency of sinusoidal z'- angular velocity in body system, in Hz",1/s,0,
OMZPHS,1,0.0,"Initial phase of sinusoidal z'- angular velocity in body system, in degrees",DEGREES,0,
BURNIGNTEMP,1,0.0 degrees C or F,Threshold temperature below which combustible component :envvar:`m` does not burn.,K,0,
BURNA,1,1.0e-05,The combustion front velocity in the solid.,cm :sup:-1,1.0e-05,
BURNB,1,0.5,A dummy variable that can be used to customize the burn rate equation.   ,NONE    ,0.5,
TWOBS,"1, 1",TBCD,,Uniform temperature for component :envvar:`m`,[T],25,
HOBVT1,"1, 1",0.0,Time-dependent component :envvar:`m` heat transfer to void,g K^-1 s^-3,30,
QSRNCG,1,0.0,Volume fraction of the non-condensable gas component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
RSATQSR,1,0.0,Relative saturation of the vapor component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
SAOBS_C,1,0.0,"Total surface area for heat transfer for component :envvar:`m` without cores/liners, including surface area at parting lines and roughness effects defined by the area multiplier :envvar:`ROBS(m)`.",NONE,0.0,
VTPRES,"1, 1",PVOID,External vent pressure at time :envvar:`TOBS(t)`,g cm^-1 s^-2,101300,
VTTEMP,"1, 1",TVOID,External vent temperature at time :envvar:`TOBS(t)`,K,25,
VTF_MIN,1,0.0,Fluid fraction at vent :envvar:`m` below which fluid #1 is allowed to escape through the vent. ,NON-DIM,0.0,
SQP_TIME,1,0.0,Squeeze pin activation time,s,0,
SQP_FORCE,1,0.0,Constant force applied to squeeze pin,g cm s^-2,0,
SQP_SOLID,1,1.0,Fraction of pin's surface covered by solid when its movement stops,NONE,1.0,
USPNG,1,0.0,x-component of background stream velocity,cm/s,0,
VSPNG,1,0.0,y-component of background stream velocity,cm/s,0,
WSPNG,1,0.0,z-component of background stream velocity,cm/s,0,
C0SPNG,1,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0.0,
C1SPNG,1,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1.0,
OPMASS_RESTIT,1,1.0,Mass particle coefficient of restitution for component :envvar:`m`,NON-DIM ,1.0,
OPGAS_RESTIT,1,1.0,Gas particle coefficient of restitution for component :envvar:`m`,NON-DIM,1.0,
OPLIQUID_RESTIT,1,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in liquid state,NON-DIM,1.0,
OPLIQUIDSD_RESTIT,1,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in solid state. Used when :envvar:`IFSLD` = 1.,NON-DIM,1.0,
OPVOID_RESTIT,1,1.0,Void particle coefficient of restitution for component :envvar:`m`,NON-DIM               ,1.0,
pq2_gate_area,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SQP_X1,1,0,x coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y1,1,0,Y coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z1,1,0,Z coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_X2,1,0,x coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y2,1,0,y coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z2,1,0,z coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
exotime,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotemp,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15,
exoq,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotau,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
NPROBES_SQP,1,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
CYC_TRANS_X,1,0.0,Component displacement in x direction during spray cooling,cm,0,
CYC_TRANS_Y,1,0.0,Component displacement in y direction during spray cooling,cm,0,
CYC_TRANS_Z,1,0.0,Component displacement in y direction during spray cooling,cm,0,
ITPOBS_TIME,"1, 1",1,on/off status table for power component :envvar:`m`,NONE,1,
SHELL_THOBS,1,0.0,Shell mold thickness for component :envvar:`m`,cm,0,
rad_cluster_angle,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30,
hobem,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
GXTRFC,1,0.0,x-coordinate of transformation center for component :envvar:`m`,cm,0,
GYTRFC,1,0.0,y-coordinate of transformation center for component :envvar:`m`,cm,0,
GZTRFC,1,0.0,z-coordinate of transformation center for component :envvar:`m`,cm,0,
GMAGN,1,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE,1.0,
GROTX,1,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",Degrees,0,
GROTY,1,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",Degrees,0,
GROTZ,1,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",Degrees,0,
GTRNX,1,0.0,Translation of component :envvar:`m` in x-direction,cm,0,
GTRNY,1,0.0,Translation of component :envvar:`m` in y-direction,cm,0,
GTRNZ,1,0.0,Translation of component :envvar:`m` in z-direction,cm,0,
XAXS0,1,0.0,X-coordinate of fixed point or fixed axis in space system,cm,0,
YAXS0,1,0.0,Y-coordinate of fixed point or fixed axis in space system.,cm,0,
ZAXS0,1,0.0,Z-coordinate of fixed point or fixed axis in space system,cm,0,
delay_plunger,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
OBSID,2,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Chill 1',
IOB,2,0,Associates subcomponent :envvar:`n` with a particular component,NONE,2,
SUBCMPID,2,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Chill',
IGEN,2,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,2,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Chill .stl',
ROUGHSUB,2,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,2,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,2,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,2,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,2,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,2,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,2,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,2,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,2,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,2,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,2,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,2,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,2,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,2,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,2,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,2,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,2,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 2",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 2",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 2",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 2",1,On/off status for the cooling channel,NONE,1,
RTORIN,2,-1.0,Minor toroid radius,cm,-1,
RTOROUT,2,-1.0,Major toroid radius,cm,-1,
ILTHOBS,2,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
HOBS1S,2,...,Heat-transfer coefficient to solidified fluid #1 for component :envvar:`m`,g K^-1 s^-3,3000,
ROUGH,2,...,Wall roughness for component :envvar:`m` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGH` < 0 ,cm,0,
RCMAN,2,0.0,Manning roughness coefficient on component :envvar:`m`,s/cm^1/3,0.0,
OECHRG,2,0.0,Initial uniform electric charge density in component :envvar:`m`,scoul/cm^3,0,
OEPOTZT,2,0.0,Zeta potential of component :envvar:`m`,g cm^2 scoul^-1 s^-2,0,
OECOND,2,0.0,Electric conductivity for component :envvar:`m`,scoul^2 s g^-1 cm^-3,0,
ODIEL,2,1.0,Dielectric constant (relative permittivity) for component :envvar:`m`.,NON-DIM,0.0,
OPOR,2,...,Component porosity (open volume fraction),NON-DIM,0.0,
OSPIN,"1, 2",0.0,Spin rate for rotating component :envvar:`m` at time :envvar:`TOBS(t)`,radians/s,0,
NOBLDS,2,0,Number of blades for added bladed effects,NONE,0,
OBLTHK,2,0.0,Blade tip thickness in the azimuthal direction (in units of length),cm,0,
ALPHWOBS,2,0.0,Coefficient for Van Genuchten wetting (filling) capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNWOBS,2,1.0,Outer exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless),NON-DIM,1.0,
XMWOBS,2,1.0,Inner exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
ALPHDOBS,2,0.0,Coefficient for Van Genuchten draining capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNDOBS,2,1.0,Outer exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XMDOBS,2,1.0,Inner exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XFRCO,2,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
YFRCO,2,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
ZFRCO,2,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
FAMP,2,0.0,Amplitude of sinusoidal actuator force,g cm s^2,0,
FREQ,2,0.0,Frequency of sinusoidal actuator force,1/s,0,
FPHS,2,0.0,Initial phase of sinusoidal actuator force,DEGREES,0,
RCOBS,2,0.0,"Density times specific heat product for component :envvar:`m`. If :envvar:`RCOBS(m)` :math:`>` 0.0, a dynamic equation is solved for the heat transfer surface temperature.",g cm^-1 K^-1 s^-2,3.7e+06,
KOBS,2,0.0,Thermal conductivity of component :envvar:`m`,g cm s^-3 K^-1,50,
XKOBS,2,1.0,Multiplier for x-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
YKOBS,2,1.0,Multiplier for y-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
ZKOBS,2,1.0,Multiplier for z-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
HOBS1,2,-1.0 ,Heat-transfer coefficient to fluid #1 for component :envvar:`m`,g K^-1 s^-3,6000,
UAMP,2,0.0,Amplitude of sinusoidal translational x-velocity in space system,cm/s,0,
UFRE,2,0.0,"Frequency of sinusoidal translational x-velocity in space system, in Hz",1/s,0,
UPHS,2,0.0,"Initial phase of sinusoidal translational x-velocity in space system, in degrees",DEGREES,0,
VAMP,2,0.0,Amplitude of sinusoidal translational y-velocity in space system,cm/s,0,
VFRE,2,0.0,"Frequency of sinusoidal translational y-velocity in space system, in Hz",1/s,0,
